city,alias1,alias2,alias3,alias4,region,,
Kiryat Netafim,,,,,Yosh,,
Kiryat Ono,Kiriyat Ono,Qiryat Ono,,,Tel Aviv,,
Kiryat Shmona,Kiryat Shemone,קריית שמונה,Qiryat Shemona,,North,,
Kiryat Tivon - Beit Zaid,Kiryat Tiv'on-Beit Zaid,,,,Haifa,,
Kiryat Yam,,Qiryat Yam,,,Haifa,,
Kiryat Yearim,Kiryat Ye'arim Youth Village,,,,Jerusalem,,
Kishon Prison (Haifa area),,,,,Haifa,,
Kishor,,,,,North,,
Kisra‑Sumei,Kisra-Sumei,,,,North,,
Kissufim,Kisufim,,,,South,,
Klachim,,,,,South,,
Klil,,,,,North,,
Kmehin,,,,,South,,
Kohav Yair,,,,,Center,,
Kohla,,,,,South,,
Kohla and Mikhol,,,,,South,,
Kokhav HaShahar,,,,,Yosh,,
Kokhav Michael,,,,,Center,,
Kokhav Ya'akov,,,,,Yosh,,
Kokhav Ya'ir - Tzur Yigal,,,,,Center,,
Kommemiut,,,,,Center,,
Koranit,,,,,North,,
Korazim Vered HaGalil,,,,,North,,
Kramim,,,,,South,,
Ksalon,,,,,Jerusalem,,
Ktura,,,,,South,,
Kursi,,,,,North,,
Kuseife,,,,,South,,
Kushi Rimon,,,,,South,,
Kvutzat Geva,,,,,Center,,
Kvutzat Kinneret,,,,,North,,
Kvutzat Yavne,,,,,Center,,
Kyriat Ekron,,,,,Center,,
Lahav,,,,,South,,
Lakhish,,,,,Center,,
Lakiya and the Bedouin Diaspora,,,,,South,,
Lapid,,,,,Center,,
Lapidot,,,,,North,,
Laqiya,,,,,South,,
Latrun,,,,,Center,,
Lavi,,,,,North,,
Lavnun,,,,,North,,
Lavon,,,,,North,,
Lehavim,,,,,South,,
Lehavot HaBashan,,,,,North,,
Lehavot Haviva,,,,,North,,
Lehman,,,,,North,,
Lev Ha‑Hula,לב החולה,Lev Ha-Hula,,,North,,
Livnim,,,,,North,,
Lochamei HaGetaot,,,,,North,,
Lod,,,,,Center,,
Lotan,,,,,South,,
Lotem and Hamdon,,,,,North,,
Lowlands 182** - Gan Shlomo,,,,,Center,,
Lowlands 184** - Mishmar David,,,,,Center,,
Luzit,,,,,Center,,
Ma'abarot,,,,,Center,,
Maagalim,,,,,South,,
Maagalim Givolim Melilot,,,,,South,,
Ma'agan Michael,Ma'agan,,,,North,,
Maale Adumim,,,,,Yosh,,
Ma'ale Hever,,,,,Yosh,,
Ma'ale Rekhav'am,,,,,Yosh,,
Ma'aleh Adumim,Ma'aleh Edomim,,,,Yosh,,
Ma'aleh Amos,,,,,Yosh,,
Ma'aleh Ephraim,,,,,Yosh,,
Ma'aleh Gamla,,,,,North,,
Ma'aleh Gilboa,,,,,North,,
Ma'aleh HaHamisha,,,,,Jerusalem,,
Ma'aleh Iron,,,,,North,,
Ma'aleh Levona,,,,,Yosh,,
Ma'aleh Michmash,,,,,Yosh,,
Ma'aleh Zvia,,,,,Center,,
Maalot Tarshiha,Ma'alot-Tarshiha,Ma'a lot Tarshicha,Ma`alot Tarshiha,,North,,
Ma'anit,,,,,North,,
Maas,,,,,Tel Aviv,,
Ma'ayan Baruch,,,,,North,,
Ma'ayan Zvi,,,,,North,,
Mabu'im,,,,,South,,
Machanaim,Machanaim landing pad,,,,North,,
Magal,,,,,North,,
Ma'galim,,,,,South,,
Magen,,,,,South,,
Magen Shaul,,,,,North,,
Maghar,,,,,North,,
Magshimim,,,,,Tel Aviv,,
Mahsiya,,,,,Jerusalem,,
Majd al‑Krum,Majd al-Krum,,,,North,,
Majdal Shams,,,,,North,,
Malakhi Junction Industries,,,,,Center,,
Malkia,,,,,North,,
Mamshit,,,,,South,,
Manara,,,,,North,,
Manof,,,,,North,,
Manot,,,,,North,,
Manshiya Zabda,,,,,North,,
Ma'on,,,,,Yosh,,
Ma'on Factories,,,,,South,,
Maon Tzofia,,,,,South,,
Maona (if referring to Bedouin site),,,,,South,,
Maor,,,,,North,,
Maoz Haim,,,,,North,,
Margaliot,,,,,North,,
Mar'it,,,,,Yosh,,
Marom HaGalil Regional Center,,,,,North,,
Masada,,,,,North,,
Mas'ade,,,,,North,,
Mashabei Sadeh,,,,,South,,
Mashhad,,,,,North,,
Maskiot,,,,,Yosh,,
Maslul,,,,,South,,
Massad,,,,,North,,
Massada,,,,,North,,
Masua,,,,,Yosh,,
Masuot Itzhak,,,,,South,,
Mata,,,,,Jerusalem,,
Matan,,,,,Center,,
Matat,,,,,North,,
Matityahu,,,,,Yosh,,
Matzliach,,,,,Center,,
Matzok Orvim,,,,,North,,
Mavki'im,,,,,South,,
Mazkeret Batya,,,,,Center,,
Mazor,,,,,Center,,
Mazra'a,,,,,North,,
Mefalsim,,,,,South,,
Megadim,,,,,Haifa,,
Megadlim,,,,,Yosh,,
Megiddo Prison,,,,,North,,
Megilot Regional Center,,,,,Yosh,,
Mehola,,,,,Yosh,,
Mei Ami,,,,,North,,
Meir Shfeya,,,,,Haifa,,
Meiser,,,,,North,,
Meishar,,,,,South,,
Meitar,,,,,South,,
Meitarim Industrial Zone,,,,,South,,
Mekhora,,,,,Yosh,,
Melilot,,,,,South,,
Menahemia,,,,,North,,
Menucha,,,,,South,,
Merav,,,,,North,,
Merav Center,,,,,Haifa,,
Merhav Am,,,,,South,,
Merhavia Kibbutz,,,,,North,,
Merhavia Moshav,,,,,North,,
Merhavim Educational Campus,,,,,South,,
Merkaz Hever,,,,,Yosh,,
Merkaz Shapira,,,,,South,,
Merom Golan,,,,,North,,
Meron,,,,,North,,
Mesillat Zion,,,,,Jerusalem,,
Messilot,,,,,North,,
Metulla,,,,,North,,
Metzad,,,,,Yosh,,
Metzar,,,,,North,,
Metzer,,,,,North,,
Metzokei Dragot,,,,,Yosh,,
Metzuba,,,,,North,,
Mevasseret Zion,,,,,Jerusalem,,
Mevo Beitar,,,,,Jerusalem,,
Mevo Carmel Industrial Zone,,,,,Haifa,,
Mevo Dotan,,,,,Yosh,,
Mevo Hama,,,,,North,,
Mevo Horon,,,,,Yosh,,
Mevo Modi'im,,,,,Center,,
Mevuot HaGilboa Industrial Zone,,,,,North,,
Mevuot Hermon Regional Council,,,,,North,,
Mevuot Yericho,,,,,Yosh,,
Midrach Oz,Industrial Park Migdal Oz,,,,North,,
Miflasim,,,,,South,,
Migdal,,,,,North,,
Migdal HaEmek,Migdal Ha`Emeq,,,,North,,
Migdal Oz,,,,,Yosh,,
Migdal Tefen,,,,,North,,
Migron,,,,,Yosh,,
Mi'ilya,,,,,North,,
Mikh'hol,,,,,South,,
Mikhmanim,,,,,North,,
Mikhmoret,,,,,Center,,
Mikveh Israel,,,,,Tel Aviv,,
Milouot Industrial Zone North,,,,,North,,
Mini Israel - Nachshon,נחשון** - מיני ישראל - נחשון,,,,Center,,
Misgav Am,,,,,North,,
Misgav Dov,,,,,South,,
Misgav Regional Center,,,,,North,,
Mishan,,,,,South,,
Mishmar Ayalon,,,,,Center,,
Mishmar David,,,,,Center,,
Mishmar HaEmek,,,,,North,,
Mishmar HaNegev,,,,,South,,
Mishmar HaSharon,,,,,Center,,
Mishmar HaShiva,,,,,Center,,
Mishmar HaYarden,,,,,North,,
Mishmarot,,,,,North,,
Mishmeret,,,,,Center,,
Mishor Edomim Industrial Zone,,,,,Yosh,,
Mitzpeh,,,,,North,,
Mitzpeh Aviv,,,,,North,,
Mitzpeh Ilan,,,,,North,,
Mitzpeh Netofa,,,,,North,,
Mitzpeh Ramon,,,,,South,,
Mitzpeh Shalem,,,,,Yosh,,
Mitzpeh Yericho,,,,,Yosh,,
Mivtachim,Mivtahim,,,,South,,
Mizra,,,,,North,,
M'lilot,,,,,South,,
Mlkishua Rehabilitation Village,,,,,North,,
Modi'in Illit,,,,,Yosh,,
Modi'in-Maccabim-Re'ut,Modiin,מודיעין מכבים רעות,Modi`in Makkabbim Re`ut,,Center,,
Moladah,,,,,South,,
Moledet,,,,,North,,
Moran,,,,,North,,
Morasha Cemetery,,,,,Tel Aviv,,
Moreshet,,,,,North,,
Moshavat Kinneret,,,,,North,,
Motza Illit,,,,,Jerusalem,,
Mu'awiya,,,,,North,,
Muqeible,,,,,North,,
Na'aleh,,,,,Yosh,,
Na'ama,,,,,South,,
Na'an,,,,,Center,,
Nabi Shu'ayb,,,,,North,,
Nachaf,,,,,North,,
Nachal Oz,,,,,South,,
Nachla,,,,,South,,
Nachliel,,,,,Yosh,,
Nachsholim,,,,,Haifa,,
Nachshon,,,,,Jerusalem,,
Nachshonim,,,,,Center,,
Nafha Prison,,,,,South,,
Nahalal,,,,,North,,
Naham,,,,,South,,
Nahariyya,Nahariya Cemetery,Nahariya,,,North,,
Naot Hkikar,,,,,South,,
Na'ot Smadar,,,,,South,,
Nataf,,,,,Jerusalem,,
Nativ Ha'asara,,,,,South,,
Natur,,,,,North,,
Na'ura,,,,,North,,
Naveh,,,,,South,,
Naveh Efal,,,,,Tel Aviv,,
Naveh Harif,,,,,South,,
Naveh Yamin,,,,,Center,,
Naveh Yarak,,,,,Center,,
Nazareth,,,,,North,,
Nebi Samuel,,,,,Yosh,,
Nechalim,,,,,Yosh,,
Negba,,,,,South,,
Negohot,,,,,Yosh,,
Nehora,,,,,South,,
Nehusha,,,,,South,,
Neot Golan,,,,,North,,
Neot HaKikar,,,,,South,,
Neot Kedumim,נאות קדומים,,,,Center,,
Neot Mordechai,,,,,North,,
Neot Smadar,,,,,South,,
Neria,,,,,Yosh,,
Nes Ziyyona,Ness Ziona,Nes Ziona,,,Center,,
Nesher,,,,,Haifa,,
Nesher Industrial Zone (Ramla),,,,,Center,,
Ness Amim,,,,,North,,
Ness Harim,,,,,Jerusalem,,
Neta,,,,,Yosh,,
Neta'im,,,,,Center,,
Netanya,Netanya - East,Netanya - West,,,Center,,
Netiv HaAssara,,,,,South,,
Netiv HaGdud,,,,,Yosh,,
Netiv HaLamed-Heh,,,,,South,,
Netiv HaShayara,,,,,North,,
Netivot,,,,,South,,
Netua,,,,,North,,
Netzer Hazani,,,,,South,,
Netzer Sireni,,,,,Center,,
Neurim,,,,,Center,,
Nevatim,,,,,South,,
Neve Efraim Monosson,,,,,Tel Aviv,,
Neve Eitan,,,,,North,,
Neveh Ativ,,,,,North,,
Neveh Daniel,,,,,Yosh,,
Neveh Haim,,,,,North,,
Neveh Harif,,,,,South,,
Neveh Ilan,,,,,Jerusalem,,
Neveh Michael (Rogalit),,,,,South,,
Neveh Mivtach,,,,,South,,
Neveh Or,,,,,Yosh,,
Neveh Shalom,,,,,Jerusalem,,
Neveh Yam,,,,,Haifa,,
Neveh Yamin,,,,,Center,,
Neveh Yarak,,,,,Center,,
Neveh Ziv,,,,,North,,
Neveh Zohar,,,,,South,,
New Giv'on,,,,,Yosh,,
Nili,נילי,,,,Yosh,,
Nimrod,,,,,North,,
Nin,,,,,North,,
Nir Akiva,,,,,South,,
Nir Am,Nir Am Shooting Range,ניר עם,מטווח ניר עם,,South,,
Nir Banim,,,,,South,,
Nir Chen,,,,,South,,
Nir David,,,,,North,,
Nir Eliyahu,,,,,Center,,
Nir Etzion,Nir Etzion Industrial Area,,,,Haifa,,
Nir Galim,,,,,South,,
Nir Israel,,,,,South,,
Nir Itzchak,Nir Itzhak,,,,South,,
Nir Moshe,,,,,South,,
Nir Oz,,,,,South,,
Nir Zvi,,,,,Center,,
Niran,,,,,South,,
Nirim,נירים,,,,South,,
Nirit,,,,,Center,,
Nitzan,,,,,South,,
Nitzan B,,,,,South,,
Nitzana,,,,,South,,
Nitzanei Oz,,,,,Center,,
Nitzanim,Nitzanim Beach,,,,South,,
Noam,,,,,South,,
NOAM Industrial Park,Noam Industrial Zone,,,,South,,
Nof HaGalil,Nof Hagalil,,,,North,,
Nofech,,,,,Yosh,,
Nofei Nehemiah,,,,,Yosh,,
Nofei Prat,,,,,Yosh,,
Noff Ayalon,,,,,Center,,
Nofim,,,,,Yosh,,
Nofit,,,,,North,,
Noga,,,,,South,,
Nokdim,,,,,Yosh,,
Nordia,,,,,Center,,
North,,,,,South,,
Northern Industrial Zone and port,,,,,South,,
Nov,,,,,North,,
Nurit,,,,,North,,
Odem,,,,,North,,
Ofaqim,Ofakim,,,,South,,
Ofarim,,,,,Yosh,,
Ofer,,,,,Haifa,,
Ofra,,,,,Yosh,,
Ohad,,,,,South,,
Olesh,,,,,Center,,
Omen Settlements,,,,,Yosh,,
Omer,,,,,South,,
Or Akiva,Or `Aqiva,,,,Haifa,,
Or HaGanuz,,,,,North,,
Or HaNer,,,,,South,,
Or Yehuda,,,,,Tel Aviv,,
Ora,,,,,Jerusalem,,
Oranim,,,,,Haifa,,
Oranit,,,,,Center,,
Oron Industry and Commerce,,,,,South,,
Orot,,,,,South,,
Ort Binyamina,,,,,North,,
Ortal,,,,,North,,
Oshrat,,,,,North,,
Otniel,,,,,Yosh,,
Otzem,,,,,South,,
Ovdat,,,,,South,,
Pa'amei Tashaz,,,,,South,,
Paduel,,,,,Yosh,,
Palmachim,,,,,Center,,
Palmachin Industrial Park,,,,,Center,,
Paran,,,,,South,,
Pardes Hanna Karkur,Pardes Hanna - Kakur,פרדס חנה,,,Haifa,,
Pardesiya,Pardessiya,,,,Center,,
Patish,,,,,South,,
Pdaya,,,,,Center,,
Pduim,,,,,South,,
Peki'in,,,,,North,,
Peki'in HaHadasha,,,,,North,,
Pelekh,,,,,North,,
Pereh Hotel,,,,,North,,
Petah Tiqwa,Petah Tikva,Petach Tikva,,,Center,,
Petza'el,,,,,Yosh,,
Pnei Kedem,,,,,Yosh,,
Porat,,,,,Center,,
Poria - Kfar Avoda,,,,,North,,
Poria - Neve Oved,,,,,North,,
Poria Illit,,,,,North,,
Pri Gan,,,,,South,,
Psagot,,,,,Yosh,,
Ptachia,,,,,Center,,
Qalansuwa,Qalansawe,Kalansawe,,,Center,,
Qasr al-Sir,,,,,South,,
Raanana,Ra'anana,Ra`ananna,,,Center,,
Rahat,Rahat and the Bedouin Diaspora,,,,South,,
Rakefet,,,,,North,,
Ram On,,,,,North,,
Rama,,,,,North,,
Ramat Beka Industrial Zone,,,,,South,,
Ramat Dalton Industrial Zone,,,,,North,,
Ramat David,,,,,North,,
Ramat Efal,,,,,Tel Aviv,,
Ramat Gan,Ramat-Gan,Ramat Gan - Bar Ilan University,Ramat Gan - East,Ramat Gan - Ramat Ef'al & Tel Hashomer,Tel Aviv,,
Ramat Gan,Ramat Gan - West,,,,Tel Aviv,,
Ramat Hakovesh,,,,,Center,,
Ramat HaNadiv,,,,,North,,
Ramat HaSharon,Ramat Hasharon,,,,Tel Aviv,,
Ramat HaShofet,,,,,North,,
Ramat Ishai,,,,,North,,
Ramat Magshimim,,,,,North,,
Ramat Pinkas,,,,,Tel Aviv,,
Ramat Rachel,,,,,Jerusalem,,
Ramat Raziel,,,,,Jerusalem,,
Ramat Trump,,,,,North,,
Ramat Yochana,,,,,North,,
Ramat Zvi,,,,,North,,
Ramla,,,,,Center,,
Ramot,,,,,Jerusalem,,
Ramot Hshavim,Ramot HaShavim,,,,Center,,
Ramot Meir,,,,,Center,,
Ramot Menashe,,,,,Haifa,,
Ramot Naftali,,,,,North,,
Ras al-ein,,,,,North,,
Ras Ali,,,,,Haifa,,
Ravid,,,,,North,,
Rechasim,,,,,Haifa,,
Rechelim,,,,,Yosh,,
Rechov,,,,,North,,
Re'em Industrial Park,,,,,South,,
Regavim,Regavim Industrial Zone,,,,North,,
Regba,,,,,North,,
Regional Council Gezer,,,,,Center,,
Regional Council Hevel Modi'in Industrial Park,,,,,Center,,
Rehaniya,,,,,North,,
Rehovot,,,,,Center,,
Rehovot Science Park,,,,,Center,,
Reihan,,,,,Yosh,,
Reim,Re'im,,,,South,,
Reineh,,,,,North,,
Rem Industrial Zone,,,,,South,,
Renan,,,,,South,,
Reshafim,,,,,North,,
Retamim,,,,,South,,
Retorno - Givat Shesh,,,,,South,,
Revacha,,,,,South,,
Revadim,,,,,South,,
Revadim Industrial Zone,,,,,South,,
Revava,,,,,Yosh,,
Revaya,,,,,North,,
Revivim,,,,,South,,
Rimonim,,,,,Yosh,,
Rinatya,,,,,Center,,
Rishon LeZiyyon,Rishon LeZion,Rishon Lezion,Rishon LeZion - East,Rishon LeZion - West,Center,,
Rishpon,,,,,Center,,
Rochama,,,,,South,,
Roee,,,,,Yosh,,
Rosh HaAyin,Rosh Ha’Ayin Train Station,Rosh Ha`Ayin,,,Center,,
Rosh HaNikra,,,,,North,,
Rosh Pinna,Rosh Pina,,,,North,,
Rosh Tzurim,,,,,Yosh,,
Rotem,Rotem Industrial Zone,,,,Yosh,,
Rumana,,,,,North,,
Rumat al-Heib,,,,,North,,
Ruppin Academic Center,,,,,Center,,
Saad,Sa'ad,,,,South,,
Sa'ar,,,,,North,,
Sade Verburg,,,,,Center,,
Safsufa (Kfar Hoshen),,,,,North,,
Sajur,,,,,North,,
Sakhnin,,,,,North,,
Salama,,,,,Center,,
Salit,,,,,Yosh,,
Samar,,,,,South,,
Sandala,,,,,North,,
Sansana,,,,,South,,
Sapir,Sapir Academy,Sapir College,,,South,,
Sapirim Industrial Park,,,,,South,,
Sarid,,,,,North,,
Sassa,,,,,North,,
Savion,Savyon,,,,Tel Aviv,,
Sa'wa,,,,,South,,
Sawad Humeria,,,,,South,,
Sawwa-Mulada,,,,,South,,
Sdeh Avraham,,,,,South,,
Sdeh Bar,,,,,South,,
Sdeh Boker,,,,,South,,
Sdeh David,,,,,South,,
Sdeh Eliezer,,,,,North,,
Sdeh Eliyahu,,,,,North,,
Sdeh Ilan,,,,,North,,
Sdeh Itzhak,,,,,North,,
Sdeh Meron School,,,,,North,,
Sdeh Moshe,,,,,South,,
Sdeh Nachum,,,,,North,,
Sdeh Nechemia,,,,,North,,
Sdeh Nitzan,Gaza Containment 234** - Sdeh Nitzan,,,,South,,
Sdeh Nitzan,,,,,South,,
Sdeh Uziahu,,,,,South,,
Sdeh Warburg,,,,,Center,,
Sdeh Yacov,,,,,North,,
Sdeh Yoav,,,,,South,,
Sdeh Zvi,,,,,South,,
Sdei Avraham,,,,,South,,
Sdei Hemed,,,,,Center,,
Sdei Trumot,,,,,North,,
Sderot,שדרות,Sederot,,,South,,
Sdot Micha,,,,,South,,
Sdot Negev Educational Center,Sdot Negev Educational Community,,,,South,,
Sdot Yam,,,,,North,,
Segev Shalom and the Bedouin Diaspora,Segev Shalom,,,,South,,
Sgula,,,,,South,,
Sha’ar HaGai,,,,,Jerusalem,,
Sha'ab,,,,,North,,
Sha'al,,,,,North,,
Sha'alabim,,,,,Center,,
Sha'ar Binyamin Industrial Zone,,,,,Yosh,,
Shaar Efraiim,Sha'ar Efraim,,,,Center,,
Sha'ar HaAmakim,,,,,North,,
Sha'ar HaGolan,,,,,North,,
Shaar Hanegev Industries,Sha'ar Hanegev Industries,,,,South,,
Sha'ar Menashe,,,,,North,,
Sha'ar Na'aman Industrial Zone,,,,,North,,
Sha'arei Tikva,,,,,Yosh,,
Shachar,,,,,South,,
Shachrut,Shacharot,Six Senses Shaharut Hotel,,,South,,
Shadmot Dvora,,,,,North,,
Shadmot Mechola,,,,,Yosh,,
Shafir,,,,,South,,
Shahak industrial park,,,,,Yosh,,
Shaked,,,,,Yosh,,
Shalva,,,,,South,,
Shamir,,,,,North,,
Shanti BaMidbar,,,,,South,,
Sharona,,,,,North,,
Sharsheret,,,,,South,,
Shavei Darom,,,,,South,,
Shavei Shomron,,,,,Yosh,,
Shavei Zion,,,,,North,,
Shchoret Industrial Zone,,,,,South,,
Shdema,,,,,South,,
Shear Yeshuv,,,,,South,,
Shefayim,"Shfayim ""Haneh Ve'sa"" Compound",,,,Center,,
Shefer,,,,,North,,
Sheikh Danun,,,,,North,,
Shekef,,,,,Yosh,,
Shekhanya,,,,,North,,
Sheni LeYavne,,,,,Center,,
Shezor,,,,,North,,
Shfaram,Shefa-Amr,Shefaram,Shefar`am,,North,,
Shibli,,,,,North,,
Shibolim,,,,,South,,
Shilat,,,,,Center,,
Shilo,,,,,Yosh,,
Shim'a,,,,,Yosh,,
Shimshit,,,,,North,,
Shita and Gilboa Prison,,,,,North,,
Shitim,,,,,South,,
Shlafim,,,,,North,,
Shlomi,,,,,North,,
Shlomit,,,,,South,,
Shluchot,,,,,North,,
Shoeva,,,,,Jerusalem,,
Shoham,שוהם,,,,Center,,
Shokeda,,,,,South,,
Shokedet,,,,,South,,
Shoket Junction Center,,,,,South,,
Shomera,,,,,North,,
Shomrat,,,,,North,,
Shomria,,,,,Yosh,,
Shorashim,,,,,North,,
Shoresh,,,,,Jerusalem,,
Shoshanat Ha'Amakim,,,,,North,,
Shoval,Shuval,,,,South,,
Shtula,,,,,North,,
Shtulim,,,,,South,,
Shuva,,,,,South,,
Shvil HaTapuzim Compound,,,,,Center,,
Shvut Rachel,,,,,Yosh,,
Sitria,,,,,Center,,
Six Senses Shaharut Hotel,,,,,South,,
Snir,,,,,South,,
South and Jaffa,Jaffa,,,,Tel Aviv,,
Southern Sharon Regional Center,,,,,Center,,
Srigim,Srigim (Li-On),Srigim-Li On,,,South,,
Sufa,,,,,South,,
Sulam,,,,,North,,
Susita Beach,,,,,North,,
Susya,,,,,Yosh,,
Ta'ashur,,,,,South,,
Tabgha,,,,,North,,
Taibe (Gilboa),,,,,North,,
Tal Menashe,,,,,Yosh,,
Tal Shachar,,,,,Jerusalem,,
Tal-El,,,,,North,,
Talmei Bilu,,,,,South,,
Talmei Elazar,,,,,North,,
Talmei Eliyahu,,,,,South,,
Talmei Yaffe,,,,,South,,
Talmei Yehiel,,,,,South,,
Talmei Yosef,Talmei Yossef,,,,South,,
Talmon,,,,,Yosh,,
Tamra,Tamra Industiral Park,,,,North,,
Taoz,,,,,Jerusalem,,
Tarom,,,,,Center,,
Tashur,,,,,South,,
Tayibe,Taibeh,Et Taiyiba,,,Center,,
Tefahot,,,,,North,,
Tel Adashim,,,,,North,,
Tel Arad,,,,,South,,
Tel Arad and El Pura,,,,,South,,
Tel Aviv-Yafo,Tel Aviv,South and Jaffa,,,Tel Aviv,,
Tel Aviv-Yafo,Tel Aviv - Across the Yarkon,Tel Aviv - City Center,Tel Aviv - East,Tel Aviv - South and Jaffa,Tel Aviv,,
Tel Aviv-Yafo,Tel Aviv (Central),Tel Aviv (North),Tel Aviv (South East),Tel Aviv (South West),Tel Aviv,,
Tel Hai,,,,,North,,
Tel Itzhak,,,,,Center,,
Tel Katzir,,,,,North,,
Tel Mond,,,,,Center,,
Tel Regev Cemetary,,,,,Haifa,,
Tel Sheva,,,,,South,,
Tel Teomim,,,,,North,,
Tel Yossef,,,,,North,,
Tel Zion,,,,,Yosh,,
Telem,,,,,Yosh,,
Teneh Omarim,,,,,Yosh,,
Teradion Industrial Zone,,,,,North,,
Terrabin a Tzana',,,,,South,,
Tiberias,,,,,North,,
Tidhar,,,,,South,,
Tifrach,,,,,South,,
Timna Mines,,,,,South,,
Timorim,,,,,South,,
Timorimg Industrial Zone,,,,,South,,
Timrat,,,,,North,,
Tira,Tira Industrial Area,Tirah,,,Center,,
Tirabin,,,,,South,,
Tirabin al-Sana and the Bedouin Diaspora,,,,,South,,
Tirat Karmel,Tirat Carmel,,,,Haifa,,
Tirat Yehuda,,,,,Center,,
Tirat Zvi,,,,,North,,
Tirosh,,,,,South,,
Tko'a,,,,,Yosh,,
Tkuma,Gaza Containment 216** - Tkuma,Tkuma and Havat Izra'am,Tkumah,Gaza Containment 216** - Tkuma and Havat Izra'am,South,,
Tlalim,,,,,South,,
Tlamim,,,,,South,,
Tnuvot,,,,,Center,,
Tomer,,,,,Yosh,,
Tsemach,,,,,North,,
Tuba-Zangariyye,,,,,North,,
Turan,,,,,North,,
Tushiya,,,,,South,,
Tuval,,,,,North,,
Tzafria,,,,,Center,,
Tzafririm,,,,,South,,
Tzahar Industrial Zone,,,,,North,,
Tzalfon,,,,,Jerusalem,,
Tzeelon Beach,,,,,North,,
Tzemach Industrial Zone,,,,,North,,
Tzfat,נוף כנרת** - צפת - נוף כנרת,צפת,עיר** - צפת - עיר,Tsfat,North,,
Tzfat,עכברה** - צפת - עכברה,Zefat,Safed,,North,,
Tzfat,Safed - 'Akbara,Safed - City,Safed - Nof ha-Kinneret,,North,,
Tziporit Industrial Zone,,,,,North,,
Tzippori,,,,,North,,
Tzofar,,,,,South,,
Tzofit,,,,,Center,,
Tzohar,Tzohar and Ohad,,,,South,,
Tzora,,,,,Jerusalem,,
Tzrufa,,,,,Haifa,,
Tzuba,,,,,Jerusalem,,
Tzukim,,,,,South,,
Tzur Hadassa,,,,,Jerusalem,,
Tzur Igal,,,,,Center,,
Tzur Itzhak,,,,,Center,,
Tzur Moshe,,,,,Center,,
Tzur Natan,,,,,Center,,
Tzur Yitzhak,,,,,Center,,
Tzuriel,,,,,North,,
Tzurit Gilon,,,,,North,,
Udim,,,,,Center,,
Umm al-Ghanam,,,,,North,,
Umm al-Qutuf,,,,,North,,
Umm Batin,,,,,South,,
Umm el Fahm,Umm al-Fahm,,,,Haifa,,
Urim,,,,,South,,
Usha,,,,,Haifa,,
Uzeir,,,,,North,,
Uzza,,,,,South,,
Vardon,,,,,South,,
Vav,,,,,South,,
Vered Yericho,,,,,Yosh,,
Wadi al-Na'am,Wadi el Na'am South,,,,South,,
Wadi Hamam,,,,,North,,
Wingate Institute,,,,,Center,,
Ya'ad,,,,,North,,
Yaaf,,,,,Center,,
Ya'ara,,,,,North,,
Yad Binyamin,,,,,South,,
Yad Hana,,,,,Center,,
Yad HaShmona,,,,,Jerusalem,,
Yad Mordecai,Yad Mordechai,,,,South,,
Yad Natan,,,,,South,,
Yad Rambam,,,,,Center,,
Yael Settlements,,,,,North,,
Yafhiv,,,,,Center,,
Yafia,,,,,North,,
Yafit,,,,,Yosh,,
Yagel,,,,,Center,,
Yagur,,,,,Haifa,,
Yahel,,,,,South,,
Yakhini,,,,,South,,
Yakir,,,,,Yosh,,
Yakum,,,,,Center,,
Yanuh-Jat,,,,,North,,
Yanuv,,,,,Center,,
Yarden Estate Boutique Hotel,,,,,North,,
Yardena,,,,,North,,
Yarhiv,,,,,Center,,
Yarka,,,,,North,,
Yarkona,,,,,Center,,
Yashresh,,,,,Center,,
Yasur,,,,,North,,
Yated,,,,,South,,
Yatzitz,,,,,Center,,
Yavne,Yavne Industrial Zone,Yavne Region Industries,,,Center,,
Yavne'el,,,,,North,,
Yearot HaCarmel,,,,,Haifa,,
Yechiam,,,,,North,,
Yehud,,,,,Center,,
Yehud-Monosson,Yahud Monoson,יהוד מונוסון,,,Center,,
Yemin Orde Youth Village,,,,,Haifa,,
Yeruham,,,,,South,,
Yesha,,,,,South,,
Yesodot,,,,,South,,
Yesud Hama'ala,,,,,North,,
Yevul,,,,,South,,
Yezra'am Farm,,,,,South,,
Yinon,,,,,South,,
Yir'on,,,,,North,,
Yish'i,,,,,Jerusalem,,
Yitav,,,,,Yosh,,
Yizre'el,,,,,North,,
Yodfat,,,,,North,,
Yokneam Moshava and HaZoreah,,,,,Haifa,,
Yonatan,,,,,North,,
Yoqne`am `Illit,Yokneam Illit Industrial Zone,Yokneam Illit,Yokneam,,North,,
Yoshivia,,,,,South,,
Yotvata,Yotvata Hai Bar Nature Reserve,,,,South,,
Yuvalim,,,,,North,,
Zain,,,,,South,,
Zalmon Prison,,,,,North,,
Zanoah,,,,,Jerusalem,,
Zarit,,,,,North,,
Zarqa,,,,,North,,
Zarzir,,,,,North,,
Zavdiel,,,,,South,,
Ze'elim,,,,,South,,
Zeitan,,,,,Center,,
Zekharia,,,,,South,,
Zemer,,,,,Center,,
Zichron Yacov,,,,,North,,
Zikim,Zikim Beach,,,,South,,
Zimrat,Zimrat and Shuva,,,,South,,
Zivon,,,,,North,,
Zohar,,,,,South,,
Zrahia,,,,,South,,
Zrifin Industrial Zone,,,,,Center,,
